,Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate,lon,lat
113,29850,8.7,1017420,174983,-73.88046929690879,40.646901840147656
114,30350,8.7,989223,201145,-73.98205989544891,40.71877133415851
115,31450,8.7,984155,201407,-74.00034250815723,40.71949188153384
116,24300,7.5,993640,152726,-73.96619344029736,40.585868396062786
117,27000,7.5,996850,197261,-73.95455308838825,40.70810308861582
118,29300,7.5,985555,179528,-73.99529638814342,40.659439077631326
119,44700,7.5,1040470,205827,-73.79714959741555,40.73144476298565
120,46100,7.5,1055532,160561,-73.74328263588063,40.60709167575559
121,1S03A,6.4,1024721,264392,-73.85362099654378,40.8922754779492
122,1S03B,6.4,1014949,260688,-73.88898208153478,40.88214861955045
123,20750,6.4,994544,192845,-73.96287733688902,40.695985221040026
124,21950,6.4,997809,181345,-73.9511262066722,40.66441597085104
125,26700,6.4,994175,185107,-73.96421947867475,40.67474664296758
126,27000,6.4,996850,197261,-73.95455308838825,40.70810308861582
127,32850,6.4,990374,211810,-73.97789793565806,40.74804335353244
128,40950,6.4,1019803,210877,-73.87169237704805,40.745413038979606
129,41650,6.4,1026792,202666,-73.84652174450272,40.72284503324427
130,45650,6.4,1030884,187685,-73.83186292947038,40.68170516952053
131,47750,6.4,1062706,209940,-73.71687114883835,40.74256452588509
132,10250,5.3,1005082,244866,-73.92471355391967,40.83875078961028
133,14850,5.3,1008919,233877,-73.91088718210777,40.80857915547174
134,18100,5.3,1025309,244013,-73.8516191645627,40.83633856498724
135,1S03,5.3,1024950,264277,-73.85279343189916,40.891958784633715
136,23650,5.3,1000612,156721,-73.94108256459104,40.59682366756381
137,25100,5.3,1006510,182108,-73.91976074761692,40.66649257938577
138,27000,5.3,996850,197261,-73.95455308838825,40.70810308861582
139,47500,5.3,1033971,157361,-73.82095647031235,40.59845571006174
140,11150,4.2,1011330,251963,-73.90210483094874,40.858213001148926
141,16450,4.2,1022580,262068,-73.86137802753393,40.88590640071589
142,17550,4.2,1006168,236943,-73.92081467838823,40.81700175001484
143,1S03,4.2,1024950,264277,-73.85279343189916,40.891958784633715
144,1S03B,4.2,1014949,260688,-73.88898208153478,40.88214861955045
145,1S07,4.2,1004013,245233,-73.92857580153655,40.83976056220037
146,23150,4.2,992883,164317,-73.96890397253107,40.61768405279928
147,27000,4.2,996850,197261,-73.95455308838825,40.70810308861582
148,37950,4.2,988485,205450,-73.98471946525459,40.73058787954905
149,39400,4.2,989043,220395,-73.98269544770065,40.77160784796929
150,3SC26,4.2,1003134,247853,-73.93174514575891,40.84695363516851
151,42850,4.2,1037347,200782,-73.8084576292333,40.71761681748442
